lon;lat;var1
140.5;20.5;-0.20538095844489532
140.5;21.5;-0.2618188238130874
140.5;22.5;-0.33332181425541035
140.5;23.5;-0.39899396689244104
140.5;24.5;-0.4723881099235015
140.5;25.5;-0.5469017957677853
140.5;26.5;-0.5692295085613303
140.5;27.5;-0.547749549885043
140.5;28.5;-0.5018988843333713
140.5;29.5;-0.5657211220248506
140.5;30.5;-0.6862592163881001
140.5;31.5;-0.7083718275909874
140.5;32.5;-0.6525266994734361
140.5;33.5;-0.6999532205488498
140.5;34.5;-0.8098548453691973
140.5;35.5;-0.9594571294200218
140.5;41.5;-0.7551970680672779
140.5;43.5;-0.5290861989788977
140.5;44.5;-0.38030357866726006
140.5;45.5;-0.22833622878445492
140.5;46.5;-0.14585691955691005
140.5;47.5;-0.13977810192059947
140.5;48.5;-0.17923279176827422
140.5;49.5;-0.2828066287019064
140.5;50.5;-0.32341045133359514
140.5;54.5;-0.46587225261297605
140.5;55.5;-0.3461655103239822
140.5;56.5;-0.18348264371596695
140.5;57.5;-0.05378398671300367
141.5;20.5;-0.18164694039168253
141.5;21.5;-0.2284496787958327
141.5;22.5;-0.2989274349956264
141.5;23.5;-0.36508283872078884
141.5;24.5;-0.4495568154686647
141.5;25.5;-0.5290452209362321
141.5;26.5;-0.5981697371599466
141.5;27.5;-0.5885315081479855
141.5;28.5;-0.5526811602375614
141.5;29.5;-0.5961528729550166
141.5;30.5;-0.6944881539275496
141.5;31.5;-0.7155968466845709
141.5;32.5;-0.6632823718957792
141.5;33.5;-0.7193789282179284
141.5;34.5;-0.8330825641631734
141.5;35.5;-1.018859998361158
141.5;36.5;-1.1679194280323852
141.5;37.5;-1.2374401183914867
141.5;38.5;-1.241439497452628
141.5;41.5;-0.8377616187486794
141.5;44.5;-0.46077012843363924
141.5;45.5;-0.29068947935293604
141.5;46.5;-0.1977228067672221
141.5;47.5;-0.1952694972612086
141.5;48.5;-0.22266524467546023
141.5;49.5;-0.27542709058584275
141.5;50.5;-0.2937249986610778
141.5;51.5;-0.35090937698559854
141.5;52.5;-0.5202752996751557
141.5;53.5;-0.519734500038184
141.5;54.5;-0.47990740713941027
141.5;55.5;-0.3885908505866219
141.5;56.5;-0.21544648144908915
141.5;57.5;-0.08308053495987819
141.5;58.5;0.029136205612359013
142.5;20.5;-0.17202782699385075
142.5;21.5;-0.22147105809825662
142.5;22.5;-0.2762480435521326
142.5;23.5;-0.3416552501312759
142.5;24.5;-0.44202086300146853
142.5;25.5;-0.5310639211543768
142.5;26.5;-0.6216144301602277
142.5;27.5;-0.6446807672139133
142.5;28.5;-0.6192740404093635
142.5;29.5;-0.6517742409238723
142.5;30.5;-0.7296962000315713
142.5;31.5;-0.738196285518158
142.5;32.5;-0.6920295215217438
142.5;33.5;-0.7396877622794034
142.5;34.5;-0.8648803756082237
142.5;35.5;-1.0394272539121736
142.5;36.5;-1.2085126294188901
142.5;37.5;-1.2696556959236847
142.5;38.5;-1.277357313700693
142.5;39.5;-1.2195411971988965
142.5;40.5;-1.0592296203498046
142.5;41.5;-0.8901633724589587
142.5;45.5;-0.3654745475229827
142.5;46.5;-0.26165210347615053
142.5;54.5;-0.48870684900728173
142.5;55.5;-0.4053222926978019
142.5;56.5;-0.2535168120442197
142.5;57.5;-0.1199258906252869
142.5;58.5;-0.009193256440100456
143.5;20.5;-0.16192305445082641
143.5;21.5;-0.20530005919882074
143.5;22.5;-0.25562782831303554
143.5;23.5;-0.32954122206625264
143.5;24.5;-0.43282530223292276
143.5;25.5;-0.5392547301287772
143.5;26.5;-0.6274290377883129
143.5;27.5;-0.6860495843263168
143.5;28.5;-0.6894908008191197
143.5;29.5;-0.7208630194519732
143.5;30.5;-0.7708053982377538
143.5;31.5;-0.752171039879556
143.5;32.5;-0.7198580013039485
143.5;33.5;-0.7468916720017471
143.5;34.5;-0.8807612212632051
143.5;35.5;-1.0618700487569979
143.5;36.5;-1.2203916360050893
